split_point,batch_size,offload_model_state_sp_num,client_offload_activation_mb_num,server_offload_activation_mb_num,client_max_mem_alloc_mb,server_max_mem_alloc_mb,filename
3,8,3,2,2,4662.9097,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_3_soa_2.json
3,8,3,2,4,4662.9097,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_3_soa_4.json
3,8,3,2,6,4662.9097,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_3_soa_6.json
3,8,3,2,8,4662.9097,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_3_soa_8.json
3,8,0,2,1,5209.5771,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_soa_1.json
3,8,0,2,2,5209.5771,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_soa_2.json
3,8,0,2,4,5209.5771,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_soa_4.json
3,8,0,2,6,5209.5771,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_soa_6.json
3,8,0,2,8,5209.5771,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_soa_8.json
3,8,0,4,0,4760.8076,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4.json
3,8,1,4,0,4598.7983,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_1.json
3,8,1,4,1,4598.7983,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_1_soa_1.json
3,8,1,4,2,4598.7983,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_1_soa_2.json
3,8,1,4,4,4598.7983,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_1_soa_4.json
3,8,1,4,6,4598.7983,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_1_soa_6.json
3,8,1,4,8,4598.7983,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_1_soa_8.json
3,8,2,4,0,4406.4692,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_2.json
3,8,2,4,1,4406.4692,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_2_soa_1.json
3,8,2,4,2,4406.4692,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_2_soa_2.json
3,8,2,4,4,4406.4692,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_cos_2_soa_4.json
